,primaryTitle,isAdult,startYear,runtimeMinutes,genres,PolloRating
218332,Psychic School Wars,0,2012,107,"Animation,Romance,Sci-Fi",0.2533496793397801
132881,Puzzlehead,0,2005,81,"Drama,Sci-Fi",0.25334490980185786
127627,1,0,2009,91,"Sci-Fi,Thriller",0.2532129096039096
247913,Curvature,0,2017,90,"Mystery,Sci-Fi,Thriller",0.2531009538184778
187456,The Lady Shogun and Her Men,0,2010,116,"Drama,Sci-Fi",0.25309332292708125
238702,Star Trek: Horizon,0,2016,102,"Action,Adventure,Sci-Fi",0.2529772713873588
119408,Posrednik,0,1990,228,"Action,Sci-Fi",0.2528825609112129
288531,Almost Human,0,2019,46,"Documentary,Sci-Fi",0.2528631736091801
175493,The Ordinaries,0,2022,120,"Comedy,Drama,Sci-Fi",0.2527865433242804
108466,Inseguito,0,2002,97,"Sci-Fi,Thriller",0.25276700591137374
277523,Zayed 9,0,2021,90,"Action,Mystery,Sci-Fi",0.2525995258847783
102456,The Breed,0,2001,91,"Action,Horror,Sci-Fi",0.2524744300294457
165280,Pig,0,2011,90,"Drama,Mystery,Sci-Fi",0.25242279314695976
55260,Nightmare at Noon,0,1988,96,"Action,Horror,Sci-Fi",0.2524203708310139
54236,Slipstream,0,1989,102,"Adventure,Sci-Fi",0.2522739820609304
75888,Gall Force: Eternal Story,0,1986,86,"Action,Animation,Sci-Fi",0.25226537916974595
285879,"Blind Willow, Sleeping Woman",0,2022,100,"Animation,Drama,Sci-Fi",0.25222518750166806
140451,Scrambled Beer,0,2007,88,"Comedy,Crime,Sci-Fi",0.2521932498404958
45378,Threshold,0,1981,97,"Drama,Sci-Fi",0.25218549361115966
36346,The Mysterious Island,0,1973,96,"Adventure,Sci-Fi",0.252111322369361
232699,Space Brothers,0,2014,\N,"Animation,Comedy,Sci-Fi",0.25202994750751234
162042,Infinitum: Subject Unknown,0,2021,86,"Mystery,Sci-Fi",0.2518986596994608
145853,Ultraman Mebius and Ultra Brothers,0,2006,119,"Action,Fantasy,Sci-Fi",0.2518454245414995
259961,Project Ghazi,0,2017,100,"Action,Sci-Fi,Thriller",0.2517604032856073
25379,Invisible Invaders,0,1959,67,"Horror,Sci-Fi",0.2516660775833667
76573,Roboman Hakaider,0,1995,77,"Action,Sci-Fi",0.25165040338151407
246049,Paradox,0,2016,90,"Action,Drama,Sci-Fi",0.25150188980952826
44203,Patrick Still Lives,0,1980,92,"Crime,Horror,Sci-Fi",0.2513762813457706
284351,H0us3,0,2018,105,"Horror,Sci-Fi,Thriller",0.251342338526049
118213,Dislocation,0,1986,85,"Drama,Sci-Fi,Thriller",0.2510052492992758
57821,Neon City,0,1991,99,"Action,Adventure,Sci-Fi",0.2509978196804977
239638,Plague,0,2014,89,"Drama,Horror,Sci-Fi",0.25088094969397673
236192,H.,0,2014,93,"Drama,Sci-Fi,Thriller",0.25086635598522206
24381,The Spider,0,1958,73,"Family,Horror,Sci-Fi",0.2507575384555679
197337,Impulse Black,0,2011,52,"Drama,Sci-Fi",0.25072711903570966
33453,Ice,0,1970,130,"Drama,Sci-Fi",0.25072121665230157
87913,Bats,0,1999,91,"Horror,Sci-Fi,Thriller",0.2506852063561701
181703,Blasted,0,2022,114,"Action,Comedy,Sci-Fi",0.25049680832971366
191443,Dead Season,0,2012,85,"Horror,Sci-Fi",0.2504469255529387
248439,Robot Sound,0,2016,117,Sci-Fi,0.2502133393894578
187150,Macross Frontier: The Wings of Goodbye,0,2011,114,"Action,Animation,Sci-Fi",0.25019622655761903
206554,Cyborg Nemesis: The Dark Rift,0,\N,100,"Action,Sci-Fi",0.2501329936928306
125340,The Girl from Monday,0,2005,84,"Action,Comedy,Sci-Fi",0.24995507843836653
34827,Tayna zheleznoy dveri,0,1970,69,"Adventure,Family,Sci-Fi",0.24993099522532852
